category,scheme,url
Thematic Fund,LIC MF Manufacturing Fund,https://research-host.example/Recommended/LIC%20MF%20Manufacturing%20Fund.pdf
Thematic Fund,Mirae Asset Great Consumer Fund,https://research-host.example/Recommended/Mirae%20Asset%20Great%20Consumer%20Fund.pdf
Thematic Fund,SBI Banking & Financial Services Fund,https://research-host.example/Recommended/SBI%20Banking%20&%20Financial%20Services%20Fund.pdf
Thematic Fund,UTI Transportation & Logistics Fund,https://research-host.example/Recommended/UTI-Transportation%20&%20Logistics%20Fund%20(G).pdf
Thematic Fund,WOC Pharma and Healthcare Fund,https://research-host.example/Recommended/WOC%20Pharma%20and%20Healthcare%20Fund.pdf
Dividend Yield Fund,Franklin India Dividend Yield Fund,https://research-host.example/Recommended/Franklin%20India%20Dividend%20Yield%20Fund.pdf
Dividend Yield Fund,ICICI Pru Dividend Yield Equity Fund,https://research-host.example/Recommended/ICICI%20Pru%20Dividend%20Yield%20Equity%20Fund.pdf
International Fund,Franklin India US Opportunities Equity Active Fund of Fund,https://research-host.example/Recommended/Franklin%20US%20Opportunities%20Equity%20Active%20Fund%20of%20Funds.pdf
Gold Fund,Axis Gold Fund,https://research-host.example/Recommended/Axis%20Gold%20Fund.pdf
Gold Fund,HDFC Gold ETF Fund of Funds,https://research-host.example/Recommended/HDFC%20Gold%20ETF%20Fund%20of%20Fund.pdf
Gold Fund,Motilal Oswal Gold & Silver Passive Fund of Funds,https://research-host.example/Recommended/Motilal%20Oswal%20Gold%20and%20Silver%20Passive%20Fund%20of%20Funds.pdf
Gold Fund,Nippon India Gold Savings Fund,https://research-host.example/Recommended/Nippon%20India%20Gold%20Savings%20Fund.pdf
Balanced Advantage Fund,ABSL Balanced Advantage Fund,https://research-host.example/Recommended/Aditya%20Birla%20SL%20Balanced%20Advantage%20Fund.pdf
Balanced Advantage Fund,Axis Balanced Advantage Fund,https://research-host.example/Recommended/Axis%20Balanced%20Advantage%20Fund.pdf
Balanced Advantage Fund,DSP Dynamic Asset Allocator Fund,https://research-host.example/Recommended/DSP%20Dynamic%20Asset%20Allocation%20Fund.pdf
Balanced Advantage Fund,HDFC Multi Asset Active Fund of Fund,https://research-host.example/Recommended/HDFC%20Multi-Asset%20Active%20Fund%20of%20Fund.pdf
Balanced Advantage Fund,Mirae Asset Balanced Advantage Fund,https://research-host.example/Recommended/Mirae%20Asset%20Balanced%20Advantage%20Fund.pdf
Balanced Advantage Fund,White Oak Capital Balanced Advantage Fund,https://research-host.example/Recommended/WOC%20Balanced%20Advantage%20Fund.pdf
Conservative Hybrid Fund,Aditya Birla SL Regular Savings Fund,https://research-host.example/Recommended/Aditya%20Birla%20SL%20Regular%20Savings%20Fund.pdf
Conservative Hybrid Fund,DSP Regular Savings Fund,https://research-host.example/Recommended/DSP%20Regular%20Savings%20Fund.pdf
Conservative Hybrid Fund,ICICI Pru Regular Savings Fund,https://research-host.example/Recommended/ICICI%20Pru%20Regular%20Savings%20Fund.pdf
Conservative Hybrid Fund,Parag Parikh Conservative Hybrid Fund,https://research-host.example/Recommended/Parag%20Parikh%20Conservative%20Hybrid%20Fund.pdf
